procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 30110180 221124 30874188    0    0     0    48 3889 4533  6  0 94  0  0
 1  0      0 30106084 221124 30874204    0    0     0   240 3978 4649  6  0 94  0  0
 1  0      0 30106084 221132 30874208    0    0     0    40 3880 4573  6  0 94  0  0
 1  0      0 30101988 221132 30874216    0    0     0     0 3913 4588  6  0 94  0  0
 1  0      0 30101988 221132 30874236    0    0     0    40 3747 4628  6  0 94  0  0
 1  0      0 30097892 221140 30874236    0    0     0    32 3801 5342  7  0 93  0  0
 1  0      0 30097892 221140 30874284    0    0     0     0 3712 4477  6  0 94  0  0
 1  0      0 30097892 221140 30874288    0    0     0     0 3813 4548  6  0 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 30093796 221140 30874292    0    0     0     0 3829 4638  6  0 94  0  0
 1  0      0 30093796 221148 30874292    0    0     0    16 3659 4573  6  0 94  0  0
 1  0      0 30093796 221156 30874304    0    0     0   116 3820 4507  6  0 94  0  0
 1  0      0 30093796 221156 30874308    0    0     0     0 3758 4515  6  0 94  0  0
 1  0      0 30093796 221156 30874316    0    0     0     0 3732 4515  6  0 94  0  0
 1  0      0 30089700 221156 30874316    0    0     0     0 3786 4439  6  0 94  0  0
 1  0      0 30089700 221156 30874328    0    0     0     0 3766 4628  6  0 94  0  0
 1  0      0 30089700 221164 30874320    0    0     0    16 3802 5073  7  0 93  0  0
 1  0      0 30089700 221164 30874364    0    0     0    76 3722 4389  6  0 94  0  0
 1  0      0 30085604 221164 30874368    0    0     0     0 3719 4508  6  0 94  0  0
 1  0      0 30085604 221164 30874376    0    0     0     0 3791 4502  6  0 93  0  0
 1  0      0 30085604 221164 30874396    0    0     0     0 3870 4434  6  0 94  0  0
 1  0      0 30085604 221172 30874396    0    0     0    36 3979 4390  6  0 94  0  0
